       Step     Time          Energy          fmax
LBFGS:    0 10:38:22   -33766.630166        7.817459
LBFGS:    1 10:38:22   -33767.359371       10.313062
LBFGS:    2 10:38:22   -33767.738752        4.184648
LBFGS:    3 10:38:22   -33767.952012        1.880888
LBFGS:    4 10:38:22   -33768.034533        0.802009
LBFGS:    5 10:38:22   -33768.103782        1.252740
LBFGS:    6 10:38:22   -33768.166794        0.953231
LBFGS:    7 10:38:22   -33768.224131        0.519469
LBFGS:    8 10:38:22   -33768.254160        0.437695
LBFGS:    9 10:38:22   -33768.268028        0.318597
LBFGS:   10 10:38:22   -33768.275467        0.248302
LBFGS:   11 10:38:22   -33768.281742        0.211117
LBFGS:   12 10:38:22   -33768.286742        0.178787
LBFGS:   13 10:38:22   -33768.292198        0.180504
LBFGS:   14 10:38:22   -33768.297008        0.208175
LBFGS:   15 10:38:22   -33768.301394        0.177160
LBFGS:   16 10:38:22   -33768.304378        0.133541
LBFGS:   17 10:38:22   -33768.307072        0.134200
LBFGS:   18 10:38:22   -33768.310413        0.155723
LBFGS:   19 10:38:22   -33768.314820        0.200236
LBFGS:   20 10:38:22   -33768.319215        0.227415
LBFGS:   21 10:38:22   -33768.323033        0.207636
LBFGS:   22 10:38:22   -33768.326538        0.170571
LBFGS:   23 10:38:22   -33768.330981        0.197981
LBFGS:   24 10:38:22   -33768.336595        0.227843
LBFGS:   25 10:38:22   -33768.341809        0.185966
LBFGS:   26 10:38:22   -33768.345676        0.170629
LBFGS:   27 10:38:22   -33768.349391        0.124191
LBFGS:   28 10:38:22   -33768.352781        0.131337
LBFGS:   29 10:38:22   -33768.356280        0.138150
LBFGS:   30 10:38:22   -33768.359448        0.149163
LBFGS:   31 10:38:22   -33768.362273        0.273606
LBFGS:   32 10:38:22   -33768.364373        0.145509
LBFGS:   33 10:38:22   -33768.365840        0.061575
LBFGS:   34 10:38:22   -33768.366434        0.054116
LBFGS:   35 10:38:22   -33768.367162        0.061275
LBFGS:   36 10:38:22   -33768.368004        0.102977
LBFGS:   37 10:38:22   -33768.369166        0.138420
LBFGS:   38 10:38:22   -33768.370434        0.139717
LBFGS:   39 10:38:22   -33768.371683        0.110710
LBFGS:   40 10:38:22   -33768.372754        0.080381
LBFGS:   41 10:38:22   -33768.373594        0.059715
LBFGS:   42 10:38:22   -33768.374213        0.061509
LBFGS:   43 10:38:22   -33768.374759        0.078814
LBFGS:   44 10:38:22   -33768.375414        0.099260
LBFGS:   45 10:38:22   -33768.376322        0.113100
LBFGS:   46 10:38:22   -33768.377503        0.114226
LBFGS:   47 10:38:22   -33768.378809        0.114426
LBFGS:   48 10:38:22   -33768.380103        0.092883
LBFGS:   49 10:38:22   -33768.381374        0.086250
LBFGS:   50 10:38:22   -33768.382605        0.087020
LBFGS:   51 10:38:22   -33768.383762        0.073940
LBFGS:   52 10:38:22   -33768.384670        0.072424
LBFGS:   53 10:38:22   -33768.385309        0.054521
LBFGS:   54 10:38:23   -33768.385879        0.076239
LBFGS:   55 10:38:23   -33768.386495        0.055615
LBFGS:   56 10:38:23   -33768.387044        0.042922
