Autodock Minimum Alpha [A],Autodock Minimum Beta [A],Autodock NOAcetate Minimum Alpha [A],Autodock NOAcetate Minimum Beta [A],ChaiLab Minimum Alpha [A],ChaiLab Minimum Beta [A],Chemical potential [eV],E(N) [Hartree],E(N+1) [Hartree],E(N-1) [Hartree],E_HOMO(N) [eV],E_HOMO(N+1) [eV],E_HOMO(N-1) [eV],Electrophilicity index [eV],Hardness [eV],Mulliken electronegativity [eV],Nucleophilicity index [eV],Softness [eV^-1],Vertical EA [eV],Vertical IP [eV],activity,cid,pKa
6.602214813232422,4.013158321380615,6.602214813232422,4.013158321380615,4.607362747192383,3.28757381439209,7.1379,-406.482808,-405.8773,-406.401923,-5.9811,-12.7649,4.3949,1.3639,18.6777,-7.1379,3.1401,0.0535,-16.4767,2.201,7.0,9707,7.943570137023926
6.716817378997803,5.0064215660095215,6.716817378997803,5.0064215660095215,6.153391361236572,5.092230796813965,7.1909,-406.488514,-405.880253,-406.408772,-6.0739,-12.765,4.3633,1.381,18.7215,-7.1909,3.0473,0.0534,-16.5516,2.1699,40.0,9743,7.969457626342773
6.73792839050293,4.572799205780029,6.73792839050293,4.572799205780029,9.378663063049316,6.177921772003174,7.2019,-406.48645,-405.885556,-406.414887,-5.8505,-12.7489,4.1323,1.4173,18.2985,-7.2019,3.2707,0.0546,-16.3511,1.9473,11.0,9732,8.700376510620117
6.610395908355713,5.18833589553833,6.610395908355713,5.18833589553833,4.4600138664245605,3.390789747238159,8.2522,-505.681553,-504.994557,-505.601081,-6.2037,-12.7722,4.403,1.6304,20.8839,-8.2522,2.9175,0.0479,-18.6941,2.1898,9.0,94392,7.015923023223877
6.833005428314209,5.258725643157959,6.833005428314209,5.258725643157959,5.985445499420166,5.02182149887085,8.302,-505.687981,-504.99686,-505.607047,-6.3576,-12.7175,4.4126,1.6404,21.0087,-8.302,2.7636,0.0476,-18.8063,2.2023,94.0,75928,7.01059103012085
6.780931949615479,4.578480243682861,6.780931949615479,4.578480243682861,8.182744026184082,6.073014259338379,8.3006,-505.679817,-504.999964,-505.610046,-6.0322,-12.9274,4.1009,1.6889,20.3983,-8.3006,3.089,0.049,-18.4997,1.8986,24.0,75927,7.76989221572876
6.6396803855896,4.65169095993042,6.6396803855896,4.65169095993042,4.662156105041504,3.597191333770752,8.3708,-505.686586,-505.000694,-505.615934,-6.1878,-12.8975,4.1229,1.7018,20.5866,-8.3708,2.9334,0.0486,-18.6641,1.9225,6.0,94952,6.7094926834106445
6.760401248931885,4.986126899719238,6.760401248931885,4.986126899719238,5.086911201477051,3.652013540267944,8.3296,-505.685361,-505.004739,-505.616954,-6.03,-12.9451,4.066,1.702,20.3821,-8.3296,3.0912,0.0491,-18.5207,1.8614,17.0,123051,7.476095199584961
6.854781627655029,3.988590717315674,6.854781627655029,3.988590717315674,5.746868133544922,4.872946262359619,8.2805,-505.676055,-504.988052,-505.596659,-6.2552,-12.6126,4.3678,1.6418,20.882,-8.2805,2.866,0.0479,-18.7215,2.1605,34.0,80879,6.754042625427246
6.458138465881348,4.806992530822754,6.458138465881348,4.806992530822754,4.804418087005615,3.253978967666626,9.4343,-604.871401,-604.110445,-604.803855,-6.2508,-13.0001,4.0593,1.974,22.5447,-9.4343,2.8704,0.0444,-20.7067,1.838,4.0,123174,6.17179536819458
